Area,Data Collection Year,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,2005,belab,high ground,Clay loam ,5,1.27,0.08,0.15,19.6,37.7,0.26,0.86
Mithpukur,2005,belab,high ground,Clay loam ,4.9,1.47,0.09,0.25,4.1,32,0.25,0.75
Mithpukur,2005,belab,high ground,Clay loam ,4.6,1.07,0.05,0.09,13.3,13.5,0.27,0.95
Mithpukur,2005,belab,high ground,Clay loam ,5.2,1.51,0.06,0.3,20.2,30,0.28,1
Mithpukur,2005,belab,high ground,Clay loam ,5.3,1.08,0.11,0.17,20.5,27.8,0.3,1.04
Mithpukur,2005,belab,high ground,Clay loam ,4.9,1.87,0.08,0.35,21.7,27.8,0.32,1.16
Mithpukur,2005,belab,high ground,Clay loam ,4.8,1.11,0.06,0.29,7.7,39.7,0.2,0.88
Mithpukur,2005,belab,high ground,Clay loam ,5.2,1.51,0.08,0.5,18.5,25.6,0.26,1.05
Mithpukur,2005,Noadda,high ground,Clay loam ,5.3,1.59,0.08,0.17,12,26.4,0.24,0.74
Mithpukur,2005,Noadda,high ground,Clay loam ,5,1.121,0.06,0.18,0.06,10.7,0.2,0.91
Mithpukur,2005,Noadda,high ground,Clay loam ,5,1.68,0.09,0.17,9.6,39.1,0.24,0.91
Mithpukur,2005,Noadda,Medium high land,Clay loam ,5.1,1.68,0.08,0.08,5.8,36.2,1,0.78
Mithpukur,2005,belab,high ground,Clay loam ,5.5,1.66,0.12,0.45,9.9,33.6,0.24,0.78
Mithpukur,2005,belab,high ground,loam,5.3,1.06,0.06,0.1,32,23.3,0.24,1.15
Mithpukur,2005,belab,high ground,Clay loam ,4.5,1.22,0.06,0.18,18.3,47.5,0.28,1.09
Mithpukur,2005,belab,high ground,Clay loam ,4.8,1.51,0.08,0.24,16.3,41.3,0.32,0.93
Mithpukur,2005,belab,high ground,Clay loam ,5.2,1.38,0.07,0.16,22.5,43,0.26,1.13
Mithpukur,2005,belab,high ground,Clay loam ,4.8,1.57,0.08,0.19,11.2,22.9,0.34,0.98
Mithpukur,2005,belab,high ground,Clay loam ,4.7,1.59,0.08,0.14,7.1,22.4,0.22,1.02
Mithpukur,2005,belab,high ground,Clay loam ,5.1,1.44,0.05,0.17,16,33.7,0.32,1.14
Mithpukur,2005,belab,high ground,Clay loam ,5.2,1.49,0.09,0.11,11.2,29.3,0.22,0.82
Mithpukur,2005,belab,high ground,Clay loam ,5.2,1.3,0.07,0.42,14.5,37.5,0.44,2.06
Mithpukur,2005,belab,high ground,Clay loam ,5,1.3,0.07,0.13,39.9,14.5,0.4,1.69
Mithpukur,2005,Noadda,high ground,Clay loam ,4.5,1.848,0.09,0.37,20.2,6.7,0.24,0.79
Mithpukur,2005,Noadda,high ground,Clay loam ,4.7,1.68,0.1,0.28,14.8,1.4,0.2,0.91
Mithpukur,2005,Noadda,high ground,Clay loam ,5.1,1.94,0.08,0.17,15,20.5,0.26,0.82
Mithpukur,2005,Noadda,high ground,Clay loam ,5,2.01,0.12,0.13,38,5.1,0.32,1.29
Mithpukur,2005,Noadda,high ground,Clay loam ,5.5,1.85,0.11,0.12,9.3,6.2,0.2,0.58
Mithpukur,2005,Noadda,high ground,Clay loam ,5,1.4,0.06,0.32,31.4,5.1,0.28,2.47
Mithpukur,2005,Noadda,Medium high land,Clay loam ,5.3,1.35,0.07,0.13,23.9,2.1,0.24,1.33
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.51,0.09,0.24,19.1,2.8,0.26,0.66
Mithpukur,2005,Sahapur,Medium high land,loam,4.8,2.33,0.14,0.1,8.7,5.5,0.06,0.59
Mithpukur,2005,Noadda,Medium high land,Clay loam ,5,2.5,0.13,0.06,6.8,1.9,0.56,0.74
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.81,0.09,0.06,11.5,1.8,0.3,0.57
Mithpukur,2005,the moon,Medium high land,Clay loam ,5,1.73,0.12,0.06,2.3,2.9,0.3,0.42
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.3,1.66,0.09,0.12,8.1,1.6,0.22,0.48
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.93,0.11,0.26,6,1.7,0.26,1.85
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.95,0.11,0.11,2.4,1.6,0.2,0.59
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.3,1.61,0.09,0.1,3.7,2.4,0.42,0.6
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.5,1.37,0.08,0.05,7.7,1.8,0.14,0.52
Mithpukur,2005,the moon,Medium high land,Clay loam ,5,1.79,0.11,0.05,13.6,10.5,0.34,0.44
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.72,0.09,0.11,5.7,13,0.36,0.57
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,2.15,0.12,0.08,6.3,10.8,0.3,0.52
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,2.55,0.14,0.1,2.8,19.2,0.34,0.5
Mithpukur,2005,the moon,Medium high land,Clay loam ,4.8,1.91,0.11,0.11,18.3,16.1,0.44,0.93
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.45,0.08,0.06,10.4,8.8,0.4,0.43
Mithpukur,2005,the moon,Medium high land,Clay loam ,4.8,1.55,0.09,0.05,16.1,6.6,0.38,0.51
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.82,0.11,0.07,14,4.3,0.41,0.95
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.73,0.11,0.05,39.2,2,0.41,0.83
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,2.07,0.12,0.05,10.7,1.6,0.38,0.65
Mithpukur,2005,Sahapur,Medium high land,loam,5.9,2.29,0.11,0.07,9.6,1,0.3,0.88
Mithpukur,2005,Sahapur,Medium high land,loam,4.6,1.91,0.13,0.11,10.2,1.6,0.4,0.78
Mithpukur,2005,Sahapur,Medium high land,loam,5.2,1.51,0.08,0.08,5,1.8,0.28,0.68
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,2.09,0.12,0.05,10.3,3.7,0.46,0.72
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.99,0.1,0.06,3.8,1.9,0.44,0.52
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.71,0.1,0.07,7.5,2,0.46,0.69
Mithpukur,2005,Sahapur,Medium high land,loam,5.3,2.09,0.12,0.07,4.6,1.7,0.36,0.37
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.7,0.09,0.06,7,1.8,0.36,0.75
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.87,0.11,0.06,8.4,10,0.4,0.67
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,2.14,0.13,0.05,10.9,9.5,0.42,1.1
Mithpukur,2005,Sahapur,Medium high land,loam,5.3,1.88,0.11,0.06,12.2,16.7,0.44,0.83
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.87,0.12,0.05,8.8,14.3,0.4,0.35
Mithpukur,2005,Sahapur,Medium high land,loam,4.7,2.29,0.13,0.08,3,22,0.5,1.04
Mithpukur,2005,Sahapur,Medium high land,loam,5.1,1.8,0.1,0.1,3.3,16.3,0.28,0.62
Mithpukur,2005,the pen ,Medium high land,Clay loam ,5,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,2005,Khilgaon,Medium high land,brick,4.9,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,2005,Khilgaon,Medium high land,brick,5,1.48,0.08,0.12,2.1,22.4,0.44,0.93
Mithpukur,2005,Khilgaon,Medium high land,brick,5.5,1.69,0.1,0.1,1.8,17.5,0.44,1.16
Mithpukur,2005,Khilgaon,Medium high land,brick,4.8,3.75,0.18,0.14,1.5,39,0.41,0.93
Mithpukur,2005,Khilgaon,Medium low land,brick,4.8,2.98,0.16,0.16,2.2,35.8,0.46,1.03
Mithpukur,2005,Pirgacha,high ground,loam,5.2,1.18,0.06,0.18,120.2,5.9,0.4,1.14
Mithpukur,2005,Pirgacha,high ground,loam,4.8,1.26,0.06,0.15,176.6,19.4,0.34,1.34
Mithpukur,2005,Pirgacha,high ground,loam,4.7,1.28,0.09,0.19,66.9,25.5,0.28,1.11
Mithpukur,2005,Pirgacha,high ground,loam,5.5,1.48,0.08,0.5,128.1,44.2,0.52,0.97
Mithpukur,2005,Pirgacha,high ground,loam,5.3,1.32,0.07,0.3,122.3,17.2,0.54,0.83
Mithpukur,2005,Pirgacha,high ground,loam,5.3,2.18,0.1,0.28,162.8,14.8,0.44,2.06
Mithpukur,2005,Pirgacha,high ground,loam,5,1.57,0.08,0.15,38.1,12.6,0.3,0.81
Mithpukur,2005,Palashbari,high ground,loam,5.1,1.22,0.07,0.38,70,11.3,0.36,0.75
Mithpukur,2005,Palashbari,high ground,loam,6.2,1.47,0.09,0.08,40.7,15.3,0.46,0.67
Mithpukur,2005,Palashbari,high ground,loam,5.3,1.82,0.11,0.08,44.7,48,0.72,0.82
Mithpukur,2005,Palashbari,high ground,loam,5.8,1.71,0.09,0.08,39.4,20,0.41,0.78
Mithpukur,2005,Palashbari,high ground,loam,4.9,1.47,0.09,0.29,137.5,10.2,0.38,2.83
Mithpukur,2005,Palashbari,high ground,loam,5.1,2.05,0.11,0.37,189.3,36.1,0.57,2.09
Mithpukur,2005,Palashbari,high ground,loam,5.4,1.26,0.07,0.18,27.8,8.3,0.42,0.57
Mithpukur,2005,Palashbari,high ground,loam,5,1.51,0.08,0.15,37.2,7,0.46,0.48
Mithpukur,2005,Palashbari,high ground,loam,5,1.71,0.1,0.22,35.2,8.1,0.34,0.58
Mithpukur,2005,Berries,high ground,loam,6.1,1.62,0.09,0.06,19.2,12.6,0.31,0.55
Mithpukur,2005,Gangachara,high ground,loam,5.2,1.99,0.11,0.15,37.4,17.4,0.38,0.8
Mithpukur,2005,Gangachara,high ground,loam,5.1,1.7,0.1,0.29,47.1,15.7,0.31,1.14
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.5,0.1,0.12,42,1.2,0.32,0.38
Mithpukur,2005,Pirgacha,high ground,loam,4.6,1.42,0.11,0.13,34.2,1.9,0.3,0.74
Mithpukur,2005,Pirgacha,high ground,loam,4.8,1.82,0.08,0.8,189.7,49.2,0.38,2.94
Mithpukur,2005,Pirgacha,high ground,loam,4.7,1.53,0.08,0.23,116.5,70.8,0.53,0.7
Mithpukur,2005,Pirgacha,high ground,loam,4.9,1.02,0.05,0.17,41.8,8.9,0.2,0.4
Mithpukur,2005,Pirgacha,high ground,loam,5.4,1.6,0.07,0.38,128.9,15.6,0.44,1.13
Mithpukur,2005,Pirgacha,high ground,loam,5.2,1.24,0.07,0.37,154.4,11.1,0.34,1.1
Mithpukur,2005,Pirgacha,high ground,loam,5.1,1.07,0.06,0.17,67.4,12.3,0.23,0.56
Mithpukur,2005,Pirgacha,high ground,loam,5,0.98,0.06,0.12,12.9,6.3,0.31,0.62
Mithpukur,2005,Palashbari,high ground,loam,5.1,1.21,0.06,0.08,6.6,5,0.41,0.39
Mithpukur,2005,Palashbari,high ground,loam,4.6,1.61,0.1,0.44,52.8,28.3,0.46,0.62
Mithpukur,2005,Palashbari,high ground,loam,5.2,1.47,0.08,0.33,33.4,13,0.2,0.72
Mithpukur,2005,Palashbari,high ground,loam,5.4,1.77,0.09,0.13,51.8,11.5,0.3,0.54
Mithpukur,2005,Palashbari,high ground,loam,5.3,1.51,0.06,0.13,48.6,10.5,0.49,0.69
Mithpukur,2005,Palashbari,high ground,loam,5.2,1.68,0.08,0.14,65,6.4,0.36,0.83
Mithpukur,2005,Palashbari,high ground,loam,5.3,1.41,0.07,0.2,23.5,16.4,0.34,0.36
Mithpukur,2005,Palashbari,high ground,loam,5.2,1.35,0.07,0.29,16.8,5,0.3,0.61
Mithpukur,2005,Palashbari,high ground,loam,5,1.59,0.09,0.11,84.8,20.9,0.48,0.54
Mithpukur,2005,Palashbari,high ground,loam,5.3,1.66,0.07,0.5,13.6,9.4,0.36,0.27
Mithpukur,2005,Palashbari,high ground,loam,5.9,1.53,0.08,0.32,28.2,5,0.32,0.66
Mithpukur,2005,Palashbari,high ground,loam,6.4,1.4,0.07,0.17,75,6.4,0.4,1.77
Mithpukur,2005,Berries,high ground,loam,5,1.31,0.07,0.11,86.1,7.5,0.46,1.81
Mithpukur,2005,Berries,high ground,loam,5.2,1.23,0.06,0.22,81.9,18.2,0.7,0.61
Mithpukur,2005,Berries,high ground,loam,4.7,1.41,0.08,0.24,28.2,54.7,0.3,0.34
Mithpukur,2005,Berries,high ground,loam,5.3,1.28,0.06,0.25,39.5,6.5,0.53,0.4
Mithpukur,2005,Berries,high ground,loam,5.7,1.121,0.06,0.08,11.8,4.4,0.25,0.48
Mithpukur,2005,Berries,high ground,loam,5.2,1.29,0.06,0.04,15.3,6.9,0.23,0.43
Mithpukur,2005,Berries,high ground,loam,6.5,1.55,0.07,0.08,110,28.5,0.48,0.8
Mithpukur,2005,Berries,high ground,loam,5.2,1.27,0.06,0.68,18.6,10.9,0.26,0.44
Mithpukur,2005,Berries,high ground,loam,5.2,1.59,0.09,0.11,15.5,8.4,0.26,0.42
Mithpukur,2005,Berries,high ground,loam,4.7,2.08,0.11,0.11,41.5,31.7,0.24,0.55
Mithpukur,2005,Berries,high ground,loam,5,1.28,0.07,0.3,25.3,9.5,0.21,0.72
Mithpukur,2005,Berries,high ground,loam,5.8,1.25,0.06,0.13,16,7.7,0.21,1.01
Mithpukur,2005,Gangachara,high ground,loam,4.8,1.24,0.07,0.1,22.8,8,0.3,0.57
Mithpukur,2005,Gangachara,high ground,loam,5,2.21,0.13,0.09,47.1,38.2,0.48,1.23
Mithpukur,2005,Gangachara,high ground,loam,5.4,2.16,0.11,0.34,14.7,25.6,0.32,0.69
Mithpukur,2005,Gangachara,high ground,loam,5.3,2.28,0.1,0.09,8.6,14.9,0.24,0.41
Mithpukur,2005,Gangachara,high ground,loam,5,2.53,0.12,0.1,22.5,14.9,0.32,0.37
Mithpukur,2005,Gangachara,high ground,loam,5.1,1.4,0.37,0.26,8.9,7.2,0.21,0.28
Mithpukur,2005,Gangachara,high ground,loam,5.2,1.848,0.1,0.15,20.8,10.5,0.28,0.63
Mithpukur,2005,Gangachara,high ground,loam,4.9,1.7,0.09,0.11,29,11.3,0.28,0.42
Mithpukur,2005,Gangachara,high ground,loam,5.1,1.79,0.09,0.08,10.7,9.4,0.28,0.21
Mithpukur,2005,Gangachara,high ground,loam,5,1.38,0.1,0.15,7.1,2.1,0.24,0.2
Mithpukur,2005,Gangachara,high ground,loam,5.3,1.68,0.1,0.1,41.1,1.1,0.21,0.2
Mithpukur,2005,Gangachara,high ground,loam,5.5,1.35,0.09,0.14,14.8,1.8,0.24,0.2
Mithpukur,2005,Gangachara,high ground,loam,5.2,1.58,0.09,0.19,11.1,1.5,0.28,0.08
Mithpukur,2005,Gangachara,high ground,loam,5,2.18,0.12,0.11,25,7.2,0.63,0.23
Mithpukur,2005,Gangachara,high ground,loam,5.2,2.01,0.12,0.14,12.8,1.4,0.32,0.23
Mithpukur,2005,Gangachara,high ground,loam,5,1.54,0.07,0.07,31.5,5.7,0.4,0.11
Mithpukur,2005,Gangachara,high ground,loam,5.1,1.32,0.08,0.18,14.3,2.9,0.24,0.43
Mithpukur,2005,Gangachara,high ground,loam,5,2.21,0.13,0.11,13.1,7.6,0.46,0.32
Mithpukur,2005,Gangachara,high ground,loam,4.8,2.94,0.09,0.31,22.2,2.5,0.34,0.24
Mithpukur,2005,Gangachara,high ground,loam,4.6,1.35,0.08,0.26,15.3,6.8,0.5,0.36
Mithpukur,2005,Gangachara,high ground,loam,5.2,1.6,0.09,0.12,4.8,12.2,0.34,0.24
Mithpukur,2005,Gangachara,high ground,loam,6,1.86,0.11,0.09,4.8,12.6,0.34,0.3
Mithpukur,2005,Gangachara,high ground,loam,5.3,1.77,0.11,0.05,3.2,12.2,0.24,0.57
Mithpukur,2005,Gangachara,high ground,loam,5.5,1.85,0.11,0.07,8.5,9.6,0.16,0.31
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.68,0.1,0.06,6.2,17.3,0.23,0.56
Mithpukur,2005,Gangachara,Medium high land,loam,4.9,1.88,0.11,0.05,15.3,15.2,0.46,0.52
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,1.45,0.08,0.07,24,13.5,0.32,0.58
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.27,0.07,0.13,9,7.5,0.24,0.39
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.61,0.09,0.15,43.3,16.9,0.52,0.87
Mithpukur,2005,Gangachara,Medium high land,loam,4.8,2.61,0.15,0.39,77.5,23.8,0.4,0.23
Mithpukur,2005,Gangachara,Medium high land,loam,5,1.39,0.08,0.31,17.6,16.9,0.32,0.52
Mithpukur,2005,Gangachara,Medium high land,loam,5.7,0.96,0.05,0.15,6.3,13.5,0.38,0.68
Mithpukur,2005,Gangachara,Medium high land,loam,5.9,0.93,0.06,0.1,7.7,10,0.22,0.28
Mithpukur,2005,Gangachara,Medium high land,loam,5.5,1.66,0.1,0.1,2.9,20.8,0.24,0.43
Mithpukur,2005,Gangachara,Medium high land,loam,5,1.94,0.12,0.04,6.1,17.8,0.53,0.64
Mithpukur,2005,Gangachara,Medium high land,loam,5,3.09,0.16,0.08,42,28.1,0.38,0.83
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.68,0.1,0.25,7.1,11.8,0.4,1.24
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,2.58,0.13,0.09,11.9,21.9,0.34,0.56
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.28,0.13,0.23,18.3,15,0.51,0.76
Mithpukur,2005,Gangachara,Medium high land,loam,4.7,1.34,0.08,0.19,23.8,15,0.73,2.01
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.69,0.1,0.21,19,16.8,0.51,0.1
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,1.75,0.1,0.1,8.8,21.1,0.4,0.48
Mithpukur,2005,Gangachara,Medium high land,loam,5.9,1.36,0.07,0.06,11.3,18,0.28,0.29
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.56,0.13,0.22,6.3,19.3,0.36,0.37
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.99,0.15,0.1,5.7,19.3,0.32,0.6
Mithpukur,2005,Gangachara,Medium high land,loam,5.5,2.76,0.15,0.08,48.3,23.6,0.49,0.23
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.41,0.14,0.35,12.3,14.2,0.3,1.24
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,2.32,0.13,0.09,7.3,12.9,0.3,0.52
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.64,0.13,0.09,7.2,25.4,0.43,0.35
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.85,0.11,0.12,8.6,13.8,0.45,0.57
Mithpukur,2005,Gangachara,Medium high land,loam,5.9,1.3,0.07,0.26,21.7,27.5,0.32,0.21
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.56,0.15,0.07,6.9,18.5,0.51,0.33
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.55,0.14,0.18,4.3,16.3,0.53,0.75
Mithpukur,2005,Gangachara,Medium high land,loam,5.5,1.77,0.1,0.06,5,10.7,0.4,0.39
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,1.78,0.1,0.08,47.7,12,0.63,0.26
Mithpukur,2005,Gangachara,Medium high land,loam,5.7,1.79,0.11,0.09,4.4,9.8,0.22,0.17
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,1.63,0.11,0.06,14.5,7,0.17,0.13
Mithpukur,2005,Gangachara,Medium high land,loam,4.9,1.74,0.11,0.1,13.2,10.5,0.28,0.63
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.26,0.13,0.1,8.9,16.5,0.3,0.56
Mithpukur,2005,Gangachara,Medium high land,loam,5.7,1.89,0.11,0.12,9.8,9.8,0.15,0.43
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.7,0.16,0.07,7.8,28.7,0.36,0.77
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,1.7,0.11,0.18,4.2,17.2,0.3,0.44
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,2.01,0.11,0.07,4.6,10.9,0.42,0.45
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.19,0.11,0.05,7.3,16.5,0.26,0.45
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.73,0.16,0.06,4,20.3,0.32,0.65
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.04,0.15,0.16,13.6,17.5,0.26,0.65
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.76,0.11,0.12,33.6,10.5,0.32,0.44
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,2.22,0.11,0.27,34,15.4,0.34,0.55
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.73,0.11,0.16,8.2,10.9,0.28,0.38
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.78,0.09,0.12,5,11.6,0.3,0.61
Mithpukur,2005,Gangachara,Medium high land,loam,5.6,1.66,0.09,0.06,9,12.3,0.28,0.52
Mithpukur,2005,Gangachara,Medium high land,loam,5.6,1.55,0.09,0.08,8.5,11.2,0.24,0.43
Mithpukur,2005,Kaunia,Medium high land,loam,5.4,2.5,0.14,0.07,17,35.7,0.49,0.67
Mithpukur,2005,Kaunia,Medium high land,loam,5.3,2.79,0.09,0.15,7,28.4,0.38,1.54
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,2.42,0.16,0.1,6.6,16.1,0.41,0.85
Mithpukur,2005,Kaunia,Medium high land,loam,5,2.58,0.15,0.11,4.3,17.2,0.34,0.46
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.27,0.12,0.1,37.8,18.9,0.36,0.94
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,3.05,0.19,0.15,4.3,24.5,0.47,1.19
Mithpukur,2005,Kaunia,Medium high land,loam,5.5,1.77,0.11,0.2,6.1,13,0.26,0.35
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.22,0.12,0.1,22.4,11.2,0.34,0.41
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,3.95,0.22,0.12,18.7,17.5,0.49,0.88
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,3.59,0.21,0.22,9.2,23.5,0.53,0.6
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.2,0.14,0.3,8,24.5,0.43,0.41
Mithpukur,2005,Kaunia,Medium high land,loam,5.5,2.85,0.16,0.3,4.2,19.3,0.36,0.64
Mithpukur,2005,Imadpur ,Medium low land,loam,5.7,2.87,0.16,0.16,7.8,17.9,0.34,0.64
